MaSV,tenSV,namsinh,diachi,sodienthoai,cmnd,kỳ một,kỳ hai,kỳ ba,kỳ bốn,Kỳ sau
1,John,2001-06-22,"Long Thành, Đồng Nai",085976-5739,9.74028E+11,5,8,10,5,5
2,Mary,2004-07-21,"Long Thành, Đồng Nai",087957-6728,7.21443E+11,5,5,8,9,9
3,Bob,2003-06-20,"Long Thành, Đồng Nai",080965-8943,6.31053E+11,5,9,9,8,6
4,Alice,2003-11-04,"Long Thành, Đồng Nai",087279-2710,9.25999E+11,9,9,6,5,5
5,Maxime Dubois,2003-04-07,"Long Thành, Đồng Nai",086157-3947,4.54521E+11,9,5,5,7,7
6,Elisa Müller,2002-05-21,"Long Thành, Đồng Nai",089080-7671,3.94114E+11,8,8,7,8,5
7,Lucas Kim,2001-05-31,"Long Thành, Đồng Nai",084924-9245,1.92741E+11,9,8,10,6,5
8,Sofia Rodriguez,2001-02-27,"Long Thành, Đồng Nai",084582-4661,2.45877E+11,7,8,8,5,8
9,William Lee,2001-09-24,"Long Thành, Đồng Nai",082845-7529,3.92017E+11,8,7,5,7,8
10,Emma Johnson,2001-04-04,"Long Thành, Đồng Nai",082585-6558,5.77421E+11,10,7,6,5,5
11,Amir Kaur,2001-11-16,"Long Thành, Đồng Nai",089492-5771,3.08957E+11,6,6,9,8,5
12,Johanna Schmidt,2001-11-24,"Long Thành, Đồng Nai",089384-0753,3.91596E+11,5,7,7,6,10
13,Matteo Bianchi,2002-07-31,"Long Thành, Đồng Nai",086841-4878,6.14998E+11,9,5,6,6,8
14,Maria Hernandez,2004-03-18,"Long Thành, Đồng Nai",089677-6982,3.40531E+11,5,5,7,7,5
15,Youssef Ali,2003-03-01,"Long Thành, Đồng Nai",082933-1069,8.57657E+11,8,6,6,6,7
16,Anna Müller,2004-10-10,"Long Thành, Đồng Nai",085855-4516,3.86097E+11,10,10,10,10,6
17,Miguel Rodriguez,2002-01-24,"Long Thành, Đồng Nai",083332-2257,6.67879E+11,6,8,10,6,7
18,Emily Wilson,2002-08-08,"Long Thành, Đồng Nai",087760-1908,5.92658E+11,5,7,8,6,7
19,Ahmed Hassan,2004-09-19,"Long Thành, Đồng Nai",088367-3896,5.70407E+11,10,5,5,10,8
20,Sarah Kim,2002-06-11,"Long Thành, Đồng Nai",088163-5399,8.48536E+11,6,6,6,10,9
21,Lukas Becker,2003-01-03,"Long Thành, Đồng Nai",089498-7547,4.78778E+11,9,7,9,10,7
22,Sofia Lopez,2004-07-11,"Long Thành, Đồng Nai",089092-7696,8.00148E+11,6,8,5,6,9
23,Alexander Müller,2002-01-08,"Đống Đa , Hà Nội",085539-2183,7.06437E+11,8,9,5,5,7
24,Isabella Rossi,2001-10-19,"Đống Đa , Hà Nội",081987-2338,8.20557E+11,8,9,9,6,10
25,Liam Brown,2002-04-26,"Đống Đa , Hà Nội",085164-8081,2.49036E+11,7,9,9,9,7
26,Leila Ali,2002-07-11,"Đống Đa , Hà Nội",086670-0668,2.29338E+11,6,10,5,5,10
27,Chiara Bianchi,2001-07-17,"Đống Đa , Hà Nội",081259-3751,2.62454E+11,9,5,9,9,8
28,Ahmed Al-Sayed,2004-11-01,"Đống Đa , Hà Nội",088515-1341,8.59284E+11,8,6,8,8,9
29,María Fernández,2002-01-02,"Đống Đa , Hà Nội",081966-2177,4.34839E+11,9,9,8,8,8
30,Lucas Martin,2003-07-09,"Đống Đa , Hà Nội",080993-8802,8.93906E+11,7,5,5,5,5
31,Sofia Garcia,2004-09-19,"Đống Đa , Hà Nội",080639-8059,1.01278E+11,7,9,10,9,7
